id,scope,name,capacity,electric_flag,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report,real_name
143,ebro,ebro,541,0,42.969946861,-4.05169448199996,ebro,rio ebro,https://www.google.com/search?kgmid=/g/1213trv6,https://www.openstreetmap.org/relation/1843373,https://www.wikidata.org/wiki/Q8775418,cantabria,cantabria,presa fabrica mamposteria,840.0,34.14,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2756,Ebro
144,ebro,fitas,9,0,-0.0634225728603316,41.800075750000005,jucar,riu amadorio,,,,huesca,aragon,,320.649999999999,,,las Fitas
145,ebro,sallente,6,1,42.5003709690001,0.991459934000034,ebro,barranc lora,,,,lleida,cataluna,presa materiales sueltos pantalla asfaltica,1770.0,89.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2580,Sallente
148,ebro,sistema capdella,50,1,-2.6473864155182527,43.00069655,jucar,riu amadorio,,,,lleida,cataluna,,320.649999999999,,,Sistema Capdella
149,ebro,ullivarri,147,1,42.9292733350001,-2.61677326299997,ebro,zadorra ibaia,,,,alava,pais vasco,presa fabrica contrafuertes,548.0,37.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2375,Ullíbarri-Gamboa
151,cantabrico occidental,barca,35,1,-6.31645032874182,43.3026572,jucar,riu amadorio,,,,asturias,principado asturias,,320.649999999999,,,La Barca
157,guadalquivir,fresneda,19,0,38.558512121,-3.62973097799994,guadalquivir,rio  jandula o fresneda o jorge,,,,ciudad real,castilla   mancha,presa fabrica arco gravedad,719.549999999999,37.5499999999999,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1420,Fresneda I
159,guadalquivir,guadalmena,347,0,38.3634923170001,-2.91397881899996,guadalquivir,rio  guadalmena,https://www.google.com/search?kgmid=/g/11gbf4ybkn,https://www.openstreetmap.org/relation/6027280,https://www.wikidata.org/wiki/Q39163065,jaen,andalucia,presa fabrica gravedad (hormigon vibrado),956.299999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1582,Guadalmena
160,guadalquivir,huesna,138,0,37.769635302,-5.68521394399994,guadalquivir,rivera huesna,,,,sevilla,andalucia,presa materiales sueltos pantalla asfaltica,143.8,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1679,Huesna
162,guadalquivir,puente nuevo,286,0,38.08606718,-4.92546965099996,guadalquivir,rio  guadiato,,,https://www.wikidata.org/wiki/Q92358754,cordoba,andalucia,presa fabrica gravedad (hormigon vibrado),447.0,56.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1426,Puente Nuevo
164,guadalquivir,siles,30,0,-2.601738558207553,38.40750535,jucar,riu amadorio,,,,jaen,andalucia,,320.649999999999,,,Siles
